S20902020014 05262978170843240718130244128128          0526297817                                                               
D201202407180032711   0114987035654605²É×½Ê²ºÞ³¹²ÁÖ³Ö³´·        ØÝºÞ187.5MLX2800001000006730000006730000074032503  C2404222     
D201202407180033070   0114987128320011ÌÞÛÁ¿Þ×Ñ¼ÞÖ³0.25MG¢Ö0.25MG PTP      100T00001000000897000000897000010102604  H774         
D201202407180033071   0114987128300846³Ù¿¼ÞÖ³100MG         100MG PTP      100T00002000000916000001832000010102810  H700TA       
D201202407180033071   0214987222697415SPÄÛ-Á0.25MG¢Ò²¼Þ£  0.25MG PTP     1200T00001000006218000006218000068402804  04324        
D201202407180033071   0314987443384446´ÝÚ½Ä¼ÞÖ³200MG       200MG PTP      100T00001000015243000015243000171102701  P0446        
D201202407180033071   0414987086533546¹ÄÌßÛÌ´ÝÃ-Ìß40MG¢»ÝÜ   10X14CM    7Ï²X1000001000001083000001083000011972601  4B12SL       
D201202407180033071   0514987120263002¹ÞÝÀ¼ÝÅÝº³0.1%            0.1%  10GX10ÎÝ00001000000999000000999000011002612  A006         
D201202407180033072   0114987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000015458000015458000170402612  24012Y1      
D201202407180033072   0214987138801746ÂÑ×017ºÞÚ²»Ý              (17) 2.5GX3X1400003000001298000003894000014282705  X06851       
D201202407180033072   0314987476113310Ä×È·»Ñ»Ý¼ÞÖ³250MG¢YD 250MG PTP      100T00001000000918000000918000010102703  Y24D33       
D201202407180033072   0414987901129800ÄÞ·»¿Þ¼Ý¼ÞÖ³1MG¢VTRS   1MG PTP      100T00001000000904000000904000010102606  HJ7970       
D201202407180033072   0514987954807700ÆÕ-ÛÀÝ¼ÞÖ³50MG        50MG PTP      100T00001000004391000004391000048402701  Y006541      
D201202407180033073   0114987047110885ÆÖ³¿¸Ø-Ñ20%¢SUN£           20%  25GX10ÎÝ00001000000911000000911000008752701  2401003      
D201202407180033073   0214987084313997ËßÚÉ·¼Ý¹ÝÀÞ¸¾²ÃÝ¶ÞÝ´    0.005%  5MLX10ÎÝ00001000000580000000580000006492704  KRU0781      
D201202407180033073   0314987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500002000001081000002162000000002901  PS7B22B-1    
D201202407180033073   0414987116530026ÒÄ¸ÞÙº¼ÞÖ³250MG      250MG PTP     1000T00001000008952000008952000101002701  6567C        
D201202407180033073   0514987081101092Û·¿ÆÝÃ-Ìß100MG         10X14CM    7Ï²X5000001000005725000005725000064402703  E124L        
D201202407180033074   0114987086471282Û·¿ÌßÛÌ´ÝNA¼ÞÖ³60MG¢  60MG PTP      100T00002000000885000001770000009802611  KY12902      
D201202407180033074   0214987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00001000001036000001036000011402609  77430        
D201202407180033075   0114987616003167ÄÚ¼-ÊÞÁÕ³ÌÚÂ¸½ÀÂÁ         300U     3MLX200001000003592000003592000039522604  PP5K405      
D201202407180033075   0214987616002467ÉÎÞ×ËßÂÄÞÁÕ³ÌÚÂ¸½ÍßÝ      300U     3MLX200003000002656000007968000029222512  PT6DE54      
D201202407180033075   0314987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00001000003238000003238000035622604  PP5K702      
D201202407180033091   0114987616002467ÉÎÞ×ËßÂÄÞÁÕ³ÌÚÂ¸½ÍßÝ      300U     3MLX200010000002656000026560000029222512  PT6DE54      
D201202407180033164   0114987120263002¹ÞÝÀ¼ÝÅÝº³0.1%            0.1%  10GX10ÎÝ00001000000999000000999000011002612  A006         
D201202407180033185   0114987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500001000001081000001081000000002901  PS7B22B-1    
D201202407180033186   0114987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00001000003238000003238000035622604  PP5K702      
E200000280000262407181302                                                                                                       
S20902020014 05262978170965240718140249128128          0526297817                                                               
D201202407180033505   0114987087025552Ò¼ÞºÝ¼ÞÖ³15MG         15MG PTP      100T00003000000507000001521000005702905  5607         
E200000030000012407181402                                                                                                       
S20902020014 05262978172734240719050231128128          0526297817                                                               
