S20902020014 05262978170785240912140251128128          0526297817                                                               
D201202409120224004   0114987439095851´Ý¼Õ±¥Hº-Ë-±¼Þ                250MLX24¶Ý00001000004903000004903000054602506  RG20C        
D201202409120224074   0114987413721622µÌ´ÌÞ¶Ìß¾Ù150MG      150MG PTP     28CAP00002000148683000297366001670592605  489005       
D201202409120224096   0114987080030416³Ù¿ÃÞµ·¼º-Ù»Ý¼ÞÖ³100 100MG PTP      100T00008000000791000006328000008702610  423Z01       
D201202409120224104   0114987128320011ÌÞÛÁ¿Þ×Ñ¼ÞÖ³0.25MG¢Ö0.25MG PTP      100T00001000000869000000869000010102606  H784         
D201202409120224105   0114987770504609±ÃÞÎ½º-ÜÁÖ³Ö³¼ÞÖ³20   20MG PTP      100T00001000000493000000493000005702701  HY4W         
D201202409120224105   0214987116530132´¸ÒÂÄÊ²ºÞ³¼ÞÖ³LD           PTP      100T00001000004315000004315000051002612  P0480        
D201202409120224105   0314987086533546¹ÄÌßÛÌ´ÝÃ-Ìß40MG¢»ÝÜ   10X14CM    7Ï²X1000001000001045000001045000011972601  4B15SL       
D201202409120224105   0414987087034936¼Å-ÙÊ²ºÞ³¼ÞÖ³              PTP      100T00001000000551000000551000006202705  8811         
D201202409120224105   0514987185809917¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  140T00001000014115000014115000156102511  Y005480      
D201202409120224106   0114987155103069ÆÌ´¼ÞËßÝCR¼ÞÖ³20MG¢Ä  20MG PTP      100T00001000000629000000629000007002612  D3197        
D201202409120224106   0214987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00001000001015000001015000011402610  79930        
D201202409120224106   0314987080023616ÛÍß×ÐÄÞ´Ý»Ý´Ý¶Ìß¾Ù1M   1MG PTP    100CAP00001000000530000000530000005902704  124402       
D201202409120224130   0114987020004828Ï·»¶Ù¼Ä-ÙÅÝº³25UG/G²    25UG/G     10GX100001000000358000000358000003752703  44038        
D201202409120224153   0114987080302612²Ù¿¸Þ×¼ÞÝÏÚ²Ý»Ý´Ý¼ÞÖ   2MG PTP      100T00001000000908000000908000009902606  723601       
D201202409120224180   0114987080737414²º»ÍßÝÄ»Ý´ÁÙØÕ³¼ÞÖ³¶     900MG      84Î³00001000003145000003145000034612610  X23X52       
D201202409120224180   0214987116530217´¸±¼ÞÖ³50MG           50MG PTP      100T00001000005130000005130000060602610  P1739        
D201202409120224180   0314987116530132´¸ÒÂÄÊ²ºÞ³¼ÞÖ³LD           PTP      100T00001000004315000004315000051002612  P0480        
D201202409120224180   0414987039454621Ìµ¼-¶Þ¼ÞÖ³10MG        10MG PTP      100T00001000021720000021720000250702702  18340        
D201202409120224180   0514987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500002000001081000002162000000002903  PS7D18B-1    
D201202409120224181   0114987954810465Û½-¾ÞÂÄÊ²ºÞ³¼ÞÖ³HD         PTP      100T00001000006708000006708000075302703  Y010806      
D201202409120224182   0114987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00002000003173000006346000035622605  PP5L142      
D201202409120224667   0114987925113625Ú½ÌßÚÝ¼ÞÖ³30MG        30MG PTP      500T00002000004133000008266000045502905  24E020G      
E200000240000222409121402                                                                                                       
S20902020014 05262978172806240913050240128128          0526297817                                                               
D201202409130224924   0114987020004828Ï·»¶Ù¼Ä-ÙÅÝº³25UG/G²    25UG/G     10GX100001000000358000000358000003752707  48012        
D201202409130224925   0114987020004828Ï·»¶Ù¼Ä-ÙÅÝº³25UG/G²    25UG/G     10GX100001000000358000000358000003752707  48012        
D201202409130224927   0114987020004828Ï·»¶Ù¼Ä-ÙÅÝº³25UG/G²    25UG/G     10GX100001000000358000000358000003752707  48012        
D201202409130225463   0114987128006502ÃÞÊß½¼ÞÖ³1MG           1MG PTP      100T00001000000896000000896000010102612  J512         
D201202409130225464   0114987084313997ËßÚÉ·¼Ý¹ÝÀÞ¸¾²ÃÝ¶ÞÝ´    0.005%  5MLX10ÎÝ00001000000571000000571000006492705  KRU0807      
E200000070000052409130502                                                                                                       
S20902960013 05262978170000240913060016128128          0526297817                                                               
D2012024091315532357791014987123873857»ÙÎß¸ÞÚ×-Ä100MG¢NIG£H100T               0000100000275200000275200003090261130GS0177       
D2012024091315532357792014987123158831ÒÙ¶¿Þ-Ù5MG H 100T                       0000100000088200000088200000980270228W540A        
E200000040000022409130600                                                                                                       
