S20902690019 05262978170000241127190003128128          0526297817                                                               
D201202411288568109   0114987123416627ÎÞ¸ÞØÎÞ°½OD¼ÞÖ³0.3MG¢À¹ÀÞÃÊÞ£100T       00001000000872000000872000010102706  KG051        
D201202411288568110   0114987058565032ÌÙÆÄ×¾ÞÊßÑ¼ÞÖ³1MG±ÒÙPTP1MG   100T       00001000000517000000517000005702705  2411         
D201202411288568111   0114987376371117ÄØ±¿Þ×Ñ¼ÞÖ³0.25MG¢ÆÁ²º³£ PTP 100T       00001000000536000000536000005902906  J00900       
E200000050000032411271900                                                                                                       
S20902020014 05262978172538241128050235128128          0526297817                                                               
D201202411280678358   0114987042143116´¸ÛÂ¸¹ÞÙ5%                  5%   40G 1ÎÝ00001000008594000008594000096522706  G41150       
D201202411280678358   0214987080103516ÄÞÝÍßØÄÞÝ¼ÞÖ³10MG¢»Ü  10MG PTP      100T00001000000530000000530000005902708  524502       
D201202411280678358   0314987116530323ÒÄÎÙÐÝ´Ý»Ý´Ý¼ÞÖ³250M 250MG PTP     1000T00001000008080000008080000101002704  6703C        
D201202411280678358   0414987116530316ÒÄÎÙÐÝ´Ý»Ý´Ý¼ÞÖ³250M 250MG PTP      100T00002000000808000001616000010102704  6690C        
D201202411280678358   0514987087003871ØÝÃÞÛÝ-VG¸Ø-Ñ0.12%       0.12%   5GX10²Ø00001000001230000001230000013852708  5832         
D201202411280678359   0114987086471282Û·¿ÌßÛÌ´ÝNA¼ÞÖ³60MG¢  60MG PTP      100T00001000000863000000863000009802706  K240081      
D201202411280678359   0214987235012564Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000002000001071000002142000011972609  4L470        
D201202411280678477   0114987086651509ÐÁ¸ÞØÆÄÞCA¥OD¼ÞÖ³5MG   5MG PTP      100T00001000000516000000516000005902701  NN01         
D201202411280678832   0114987901128209±ÑÛ¼ÞËßÝ¼ÞÖ³2.5MG¢VT 2.5MG PTP      100T00001000000788000000788000010102712  LA6088       
D201202411280678832   0214987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00001000004248000004248000050202704  P2375XA      
D201202411280678832   0314987080005414¶ÝÃÞ»ÙÀÝ¼ÞÖ³12MG¢»Ü²  12MG PTP      100T00001000001392000001392000015702609  723902       
D201202411280678832   0414987185809917¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  140T00001000013409000013409000156102603  Y012890      
D201202411280678833   0114987428879806ËÕ-ÏÛ¸ÞÐÂ¸½50ÁÕ³ÐØµÍ      300U     3MLX200001000002166000002166000024362701  D715086EG    
D201202411280679329   0114987382034570KENZ-Ì¶¶ÞÀÅÝº³ÂÎÞ10G¼Û ·ÔÂÌß±µ       50º0000100000057000000057000000000      2407         
D201202411280679413   0114987128320011ÌÞÛÁ¿Þ×Ñ¼ÞÖ³0.25MG¢Ö0.25MG PTP      100T00001000000869000000869000010102703  J794         
D201202411280679414   0114987086533546¹ÄÌßÛÌ´ÝÃ-Ìß40MG¢»ÝÜ   10X14CM    7Ï²X1000001000001045000001045000011972605  4K16SL       
D201202411280679414   0214987174414016¼Þ¸ÛÌ´Å¸NA¹ÞÙ1%¢ÆÎÝ¿        1%    50GX1000001000001483000001483000016502705  24034        
D201202411280679414   0314987086471282Û·¿ÌßÛÌ´ÝNA¼ÞÖ³60MG¢  60MG PTP      100T00001000000863000000863000009802706  K240081      
D201202411280679414   0414987235012564Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000001000001071000001071000011972609  4L470        
D201202411280679453   0114987035209713ÚÊÞÐËßÄÞ¼ÞÖ³100MG¢µ- 100MG PTP      500T00001000004040000004040000050502707  4G74RT1      
D201202411280679453   0214987235012564Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000001000001071000001071000011972609  4L470        
D201202411280679495   0114987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000014716000014716000170402703  24036Y1      
D201202411280679496   0114987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00002000003173000006346000035622607  PP5L642      
D201202411280679746   0114987173015818±½ÞÉ-Ù³¶Þ²´·4%              4%  5MLX10ÎÝ00001000001183000001183000013452707  04048        
D201202411280679746   0214987770504609±ÃÞÎ½º-ÜÁÖ³Ö³¼ÞÖ³20   20MG PTP      100T00003000000493000001479000005702703  IB4C         
D201202411280679746   0314987081186501ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      500T00001000008550000008550000096002702  489028       
D201202411280679746   0414987901008303ÉÙÊÞ½¸¼ÞÖ³5MG          5MG PTP      100T00001000001381000001381000015202712  LL4777       
D201202411280679746   0514987306066212ËÞµÌ´ÙÐÝ¼ÞÖ³»Þ²            PTP      630T00001000003088000003088000035912709  094X1        
D201202411280679747   0114987035184614Ñº½À¼ÞÖ³100MG        100MG PTP      100T00002000000901000001802000010102706  4F79MT3      
D201202411280679747   0214987188412176Ó-×½Ã-ÌßL40MG          10X14CM    7Ï²X1000001000001819000001819000020022608  B910U        
D201202411280679747   0314987028225560ÕÍÞ×N¿ÌÄ¶Ìß¾Ù200MG   200MG PTP    100CAP00001000000662000000662000007402611  42R04F       
D201202411280679747   0414987954801906ØÎßÊÞ½¼ÞÖ³5            5MG PTP      100T00001000002400000002400000026802609  X024835      
E200000340000322411280502                                                                                                       
S20901660013 05262978170000241127224920128128          0526297817                                                               
D2012024112835079     0114987123154352À¹·ÔÌÞ ¼ÞÖ³ 10MG      PTP   10MG    100T00001000008536000008536000096802705  561145       
D2012024112835079     0214987138806840068 ÂÑ× ¼Ô¸Ô¸¶Ý¿Þ³Ä³           2.5GX42Î³00002000000992000001984000010922709  X22431       
D2012024112835079     0314987116530170´¸ÒÂÄ Ê²ºÞ³¼ÞÖ³ HD    PTP           100T00001000004473000004473000050202704  P2377        
D2012024112835079     0414987116530170´¸ÒÂÄ Ê²ºÞ³¼ÞÖ³ HD    PTP           100T00001000004473000004473000050202704  P2377        
D2012024112835079     0514987376556712Ì´·¿Ì´Å¼ÞÝ´Ý»Ý´Ý ¼ÞÖIK£  PTP 60MG   100T00001000002558000002558000028702701  4K016A       
D2012024112835079     0614987376056212ÄºÌ´Û-ÙÆºÁÝ»Ý´½ÃÙ ¶Ì¢ÆÁ²º³£  PTP    100P00001000000681000000681000007502703  CP1601       
D2012024112835079     0714987080001911ËßÀÊÞ½ÀÁÝ CA ¼ÞÖ³ 1M  PTP    1MG    100T00001000000840000000840000010102702  424203       
D2012024112835079     0814987123155076Á×-ÁÞÝ S ¼ÞÖ³ 12.5Ï² PTP 12.5Ï²¸ÛG  100T00001000000890000000890000009802705  Y268A        
D2012024112835080     0114987235012519Û·¿ÌßÛÌ´ÝNAÃ-Ìß 50MG  7CMX10CM    7Ï²X1000001000000767000000767000008612609  4L220        
D2012024112835080     0214987235012564Û·¿ÌßÛÌ´ÝNAÃ-Ìß 100M  10CMX14CM   7Ï²X1000001000001067000001067000011972609  4L470        
D2012024112835080     0314987235012564Û·¿ÌßÛÌ´ÝNAÃ-Ìß 100M  10CMX14CM   7Ï²X1000001000001067000001067000011972609  4L470        
D2012024112835081     0114987376371117ÄØ±¿Þ×Ñ ¼ÞÖ³ 0.25MG   PTP 0.25MG    100T00001000000526000000526000005902906  J00900       
D2012024112835082     0114987058565032ÌÙÆÄ×¾ÞÊßÑ ¼ÞÖ³ 1MG   PTP    1MG    100T00001000000500000000500000005702705  2412         
D2012024112835486     0114987376056212ÄºÌ´Û-ÙÆºÁÝ»Ý´½ÃÙ ¶Ì¢ÆÁ²º³£  PTP    100P00001000000681000000681000007502703  CP1601       
D2012024112835486     0214987123416627ÎÞ¸ÞØÎÞ-½ OD¼ÞÖ³ 0.3£ PTP  0.3MG    100T00001000000851000000851000010102706  KG021        
D2012024112835486     0314987123875271ÌÛ¾ÐÄÞ ¼ÞÖ³ 40MG ¢NI  PTP   40MG    100T00001000000571000000571000006402703  GW0091       
D2012024112835486     0414987123002974ÒÁÙ¼ÞºÞ·¼Ý ¼ÞÖ³ 0.1M  PTP  0.1MG    100T00001000000526000000526000005902509  G20585       
D2012024112836233     0114987123154352À¹·ÔÌÞ ¼ÞÖ³ 10MG      PTP   10MG    100T00002000008536000017072000096802705  561145       
E200000200000182411272249                                                                                                       
