S20902690019 05262978170000250214124501128128          0526297817                                                               
D201202502172050351   0114987376056212ÄºÌ´Û°ÙÆºÁÝ»Ý´½ÃÙ¶Ìß¾Ù200MG 100CP       00002000000681000001362000007502706  FP0601       
D201202502172050351   0214987616002467ÉÎÞ×ËßÂÄÞÁÕ³ÌÚÂ¸½ÍßÝ        3MLX2       00002000002630000005260000029222605  PT6EP25      
E200000040000022502141245                                                                                                       
S20902020014 05262978170983250214140259128128          0526297817                                                               
D201202502140816364   0114987190020338´¿ÒÌß×¿Þ-Ù¶Ìß¾Ù20MG¢  20MG PTP    100CAP00001000003595000003595000041802608  11730        
D201202502140816364   0214987081103324´Ì²´ÝÄ¼ÞÖ³3.75MG    3.75MG PTP      100T00001000022124000022124000254302704  TDA0216      
D201202502140816364   0314987443384446´ÝÚ½Ä¼ÞÖ³200MG       200MG PTP      100T00001000015108000015108000171102706  P0634        
D201202502140816364   0414987080680017¶ÙÍÞ¼ÞÛ-Ù¼ÞÖ³2.5MG¢» 2.5MG PTP      100T00001000000879000000879000010102703  724307       
D201202502140816364   0514987650650105¸Ú½Ä-Ù¼ÞÖ³2.5MG      2.5MG PTP      100T00001000001836000001836000021302706  93740        
D201202502140816365   0114987086533546¹ÄÌßÛÌ´ÝÃ-Ìß40MG¢»ÝÜ   10X14CM    7Ï²X1000001000001045000001045000011972612  5A12SL       
D201202502140816365   0214987080783015¼ÝÊÞ½ÀÁÝ¼ÞÖ³5MG¢SW£    5MG PTP      100T00001000001653000001653000018802704  524202       
D201202502140816365   0314987413300612¼ÞÔÃÞ²±Ý½¼ÞÖ³10MG     10MG PTP      100T00001000016293000016293000188902703  489423       
D201202502140816365   0414987035622611ÄÙÊÞÌßÀÝOD¼ÞÖ³15MG¢µ  15MG PTP       20T00001000010027000010027000125342708  4H88TDB2     
D201202502140816365   0514987153136632ÌßÚÄÞÆ¿ÞÛÝ¼ÞÖ³1MG      1MG PTP      100T00001000000706000000706000008302705  EPT524N      
D201202502140816366   0114987497249227×ÀÉÌßÛ½ÄÃÝ¶ÞÝ´·0.005    0.005%   2.5MLX500001000001980000001980000021302709  240051       
D201202502140816366   0214987087003871ØÝÃÞÛÝ-VG¸Ø-Ñ0.12%       0.12%   5GX10²Ø00001000001230000001230000013852710  5837         
D201202502140816366   0314987081100316Û·¿ÆÝÃ-Ìß100MG         10X14CM    7Ï²X1000001000001085000001085000012882709  W1724        
D201202502140816366   0414987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000002000001066000002132000011972710  X0924        
D201202502140816366   0514987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00001000001015000001015000011402701  84240        
D201202502140816367   0114987020020996¼ÞÌÙÌßÚÄÞÅ-ÄÅÝº³0.05     0.05%     5GX1000001000000702000000702000006502707  48Y09        
D201202502140816367   0214987233105343½-¼ÞÔÇÊ²ºÞ³¼ÞÖ³            PTP      100T00001000016382000016382000191702704  24060M1      
D201202502140816367   0314987901008303ÉÙÊÞ½¸¼ÞÖ³5MG          5MG PTP      100T00001000001381000001381000015202805  LN2455       
D201202502140816367   0414987222682152ËÞ×É±¼ÞÖ³20MG         20MG PTP      100T00001000004590000004590000053202703  4C84A        
D201202502140816368   0114987616003167ÄÚ¼-ÊÞÁÕ³ÌÚÂ¸½ÀÂÁ         300U     3MLX200001000003520000003520000039522609  PP5M327      
D201202502140816368   0214987616002467ÉÎÞ×ËßÂÄÞÁÕ³ÌÚÂ¸½ÍßÝ      300U     3MLX200002000002631000005262000029222605  PT6FA29      
D201202502140816480   0114987080737414²º»ÍßÝÄ»Ý´ÁÙØÕ³¼ÞÖ³¶     900MG      84Î³00001000003145000003145000034612703  X24342       
D201202502140816480   0214987443384446´ÝÚ½Ä¼ÞÖ³200MG       200MG PTP      100T00001000015108000015108000171102706  P0634        
