S20902020014 05262978170912250304140254128128          0526297817                                                               
D201202503040892770   0114987080323013¶ÙÎÞ¼½Ã²Ý¼ÞÖ³250MG¢» 250MG PTP      100T00001000000609000000609000006702908  624606       
D201202503040892805   0114987080323037¶ÙÎÞ¼½Ã²Ý¼ÞÖ³250MG¢» 250MG PTP     1000T00001000006090000006090000067002911  624909       
D201202503040892807   0114987080324010¶ÙÎÞ¼½Ã²Ý¼ÞÖ³500MG¢» 500MG PTP      100T00001000000845000000845000009302709  X24908       
D201202503040892835   0114987155244175¶ÙÎÞ¼½Ã²Ý¼ÞÖ³250MG¢Ä 250MG PTP     1000T00001000006091000006091000067002712  D2901        
D201202503040893304   0114987080190011´Á¿Þ×Ñ¼ÞÖ³0.5MG¢SW£  0.5MG PTP      100T00001000000582000000582000006402710  524804       
D201202503040893305   0114987614415511±ÑÊÞÛÊ²ºÞ³¼ÞÖ³¢»ÝÄÞ£       PTP      500T00001000006828000006828000084502708  P0312        
D201202503040893305   0214987614415504±ÑÊÞÛÊ²ºÞ³¼ÞÖ³¢»ÝÄÞ£       PTP      140T00001000002058000002058000023662706  P0307        
D201202503040893305   0314987080737414²º»ÍßÝÄ»Ý´ÁÙØÕ³¼ÞÖ³¶     900MG      84Î³00001000003145000003145000034612704  X24371       
D201202503040893305   0414987080103813²Ì´ÝÌßÛ¼ÞÙ¼Õ¾·»Ý´Ý¼Þ  20MG PTP      100T00001000000531000000531000005902704  624403       
D201202503040893305   0514987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00002000004248000008496000050202708  P2460        
D201202503040893306   0114987084316318´ËßÅ½ÁÝ´Ý»Ý´ÝLXÃÝ¶ÞÝ      0.1%  5MLX10ÎÝ00001000010870000010870000126452712  2EJ0014      
D201202503040893306   0214987185809900¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  100T00001000009578000009578000111502606  Y018538      
D201202503040893306   0314987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00002000014716000029432000170402705  24055Y1      
D201202503040893306   0414987080034711¾ÝÉ¼ÄÞ¼ÞÖ³12MG¢»Ü²£   12MG PTP      100T00001000000460000000460000005102810  724904       
D201202503040893306   0514987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00001000002394000002394000026882704  489040       
D201202503040893307   0114987901129800ÄÞ·»¿Þ¼Ý¼ÞÖ³1MG¢VTRS   1MG PTP      100T00001000000859000000859000010102703  LG0203       
D201202503040893307   0214987080002017ËßÀÊÞ½ÀÁÝCA¼ÞÖ³2MG¢»   2MG PTP      100T00001000001535000001535000017802706  424606       
D201202503040893307   0314987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500002000001081000002162000000002909  PS7K16B-1    
D201202503040893307   0414987116530002ÒÄ¸ÞÙº¼ÞÖ³250MG      250MG PTP      100T00001000000895000000895000010102705  6769C        
D201202503040893307   0514987116530323ÒÄÎÙÐÝ´Ý»Ý´Ý¼ÞÖ³250M 250MG PTP     1000T00001000008080000008080000101002707  6800C        
D201202503040893308   0114987116530316ÒÄÎÙÐÝ´Ý»Ý´Ý¼ÞÖ³250M 250MG PTP      100T00001000000808000000808000010102706  6776C        
D201202503040893308   0214987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000002000001066000002132000011972710  X1224        
D201202503040893308   0314987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00001000001015000001015000011402703  86540        
D201202503040893309   0114987428143303ÄÙØ¼Ã²Ë¶ÁÕ³0.75MG±Ãµ    0.75MG      2·ÂÄ00002000004874000009748000054982603  D763710CA    
D201202503040893310   0114987616003167ÄÚ¼-ÊÞÁÕ³ÌÚÂ¸½ÀÂÁ         300U     3MLX200001000003520000003520000039522609  PP5M705      
D201202503040893310   0214987616002467ÉÎÞ×ËßÂÄÞÁÕ³ÌÚÂ¸½ÍßÝ      300U     3MLX200002000002631000005262000029222605  PT6FA30      
D201202503040893338   0114987020020118Ëßº½ÙÌ±-ÄÅÄØ³ÑÅ²Ö³´·     0.75%   10MLX1000001000000804000000804000007602710  4CA04        
E200000290000272503041402                                                                                                       
