S20902690019 05262978170000250403110001128128          0526297817                                                               
D201202504034922091   0114987123409261±ÝÌÞÛ·¿°Ù´Ý»Ý´Ý¼ÞÖ³15MGPTPÀ²Ö100T       00003000000534000001602000005902706  H30263       
D201202504034922092   0114987123872058¿ÞÙËßÃÞÑ¼Õ¾·»Ý´Ý¼ÞÖ³10M¢NIPT 100T       00001000001235000001235000013602702  GT0173       
E200000040000022504031100                                                                                                       
S20902690019 05262978170000250403120002128128          0526297817                                                               
D201202504034923697   0114987123873857»ÙÎß¸ÞÚ×°Ä´Ý»Ý´Ý¼ÞÖ³100MG PTP100T       00001000002600000002600000028602708  GY0327       
D201202504034925915   0114987376069519±ÄÙÊÞ½ÀÁÝ¼ÞÖ³10MG¢ÆÁº³£ PTP  100T       00001000000945000000945000010402701  AP0101       
E200000040000022504031200                                                                                                       
S20902020014 05262978170758250403130250128128          0526297817                                                               
D201202504030147576   0114987185809900¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  100T00001000007464000007464000082102606  Y019051      
D201202504030147576   0214987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000014782000014782000162602705  24058Y1      
D201202504030147576   0314987081181490Ëßµ¸ÞØÀ¿ÞÝ¼ÞÖ³30MG¢D  30MG PTP      100T00001000001909000001909000021002702  N3A0055      
D201202504030147576   0414987081185719Ì´ÌÞ·¿½ÀÂÄ¼ÞÖ³10MG¢D  10MG PTP      100T00001000000555000000555000006102708  50263        
D201202504030147576   0514987116530323ÒÄÎÙÐÝ´Ý»Ý´Ý¼ÞÖ³250M 250MG PTP     1000T00001000009455000009455000104002707  6822C        
D201202504030147577   0114987116530316ÒÄÎÙÐÝ´Ý»Ý´Ý¼ÞÖ³250M 250MG PTP      100T00002000000945000001890000010402707  6784C        
D201202504030147577   0214987035209713ÚÊÞÐËßÄÞ¼ÞÖ³100MG¢µ- 100MG PTP      500T00001000004727000004727000052002801  5A76RT2      
D201202504030147577   0314987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000001000001120000001120000012322712  10625        
D201202504030147629   0114987080323013¶ÙÎÞ¼½Ã²Ý¼ÞÖ³250MG¢» 250MG PTP      100T00001000000945000000945000010402911  624907       
D201202504030147641   0114987080323037¶ÙÎÞ¼½Ã²Ý¼ÞÖ³250MG¢» 250MG PTP     1000T00001000009455000009455000104002912  624X10       
D201202504030147644   0114987080324010¶ÙÎÞ¼½Ã²Ý¼ÞÖ³500MG¢» 500MG PTP      100T00001000000945000000945000010402712  X25114       
D201202504030147719   0114987901126809±ÑÛ¼ÞËßÝOD¼ÞÖ³10MG¢V  10MG PTP      100T00001000000945000000945000010402702  LH1157       
D201202504030147719   0214987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00001000004227000004227000046502709  P2479        
D201202504030147719   0314987051183127¸ÞÙÍÞ½Ê²ºÞ³¼ÞÖ³            PTP      100T00001000002345000002345000025802905  CVX0704      
D201202504030147719   0414987286113500»Ý¶Ï¸ÞÈ¼³Ñ¼ÞÖ³330MG¢ 330MG PTP      100T00003000000536000001608000005902801  5E46         
D201202504030147719   0514987081187836¼ÛÄÞ¼ÝOD¼ÞÖ³4MG¢DSEP   4MG PTP      100T00001000001200000001200000013202706  CVZ1104      
D201202504030147720   0114987901008303ÉÙÊÞ½¸¼ÞÖ³5MG          5MG PTP      100T00001000001245000001245000013702805  LN2456       
D201202504030147720   0214987080774013Ìß×ÊÞ½ÀÁÝNA¼ÞÖ³10MG¢  10MG PTP      100T00001000001282000001282000014102706  724603       
D201202504030147720   0314987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500003000001081000003243000000002911  PS7M02B-1    
D201202504030147720   0414987081105403Û·¿ÆÝ¼ÞÖ³60MG         60MG PTP      100T00001000000945000000945000010402708  THA8621      
D201202504030147720   0514987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000001000001120000001120000012322712  10625        
D201202504030147721   0114987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00002000000945000001890000010402703  86740        
