S20902690019 05262978170000250604120003128128          0526297817                                                               
D201202506048617058   0114987123003452±¼ÞÙ»ÙÀÝ¼ÞÖ³20MG ¢À¹ÀÞÃÊÞ£PTP100T       00001000002745000002745000030202707  TA0050       
D201202506048617058   0214987123002721µÒ¶Þ°3¼ÎÞ³»Ý´ÁÙØÕ³¼Þ³¶Ìß¾Ù   56Î³       00001000003872000003872000042782706  2407151      
D201202506048617058   0314987376711005ÍÞÀË½ÁÝÒ¼Ù»Ý´Ý¼ÞÖ³6MG¢ÆÁ²ºPT 100T       00001000000572000000572000006302709  K05300       
D201202506048620194   0114987123872829¼Û½À¿Þ°Ù¼ÞÖ³100MG¢NIG£ PTP   100T       00002000001142000002284000012602610  GP0639       
D201202506048620194   0214987123875271ÌÛ¾ÐÄÞ¼ÞÖ³40MG¢NIG£  PTP     100T       00001000000599000000599000006602712  H60745       
D201202506048620194   0314987376711005ÍÞÀË½ÁÝÒ¼Ù»Ý´Ý¼ÞÖ³6MG¢ÆÁ²ºPT 100T       00001000000572000000572000006302709  K05300       
D201202506048620194   0414987123416627ÎÞ¸ÞØÎÞ°½OD¼ÞÖ³0.3MG¢À¹ÀÞÃÊÞ£100T       00002000000942000001884000010402709  KK071        
E200000090000072506041200                                                                                                       
S20902020014 05262978170805250604140246128128          0526297817                                                               
D201202506040246011   0114987155165265¾Ì¶ÍßÝËßÎÞ·¼Ù´Ý»Ý´Ý¼ 100MG PTP      500T00002000018682000037364000205502710  A00540       
D201202506040246114   0114987770504609±ÃÞÎ½º-ÜÁÖ³Ö³¼ÞÖ³20   20MG PTP      100T00001000000536000000536000005902712  IO5O         
D201202506040246114   0214987116140331²Ù±Ð¸½Ê²ºÞ³¼ÞÖ³HD¢DS       PTP      100T00001000001818000001818000020002708  1281C        
D201202506040246114   0314987087034868SGÊ²ºÞ³¶ØÕ³                     1GX105Î³00001000000716000000716000007882710  9840         
D201202506040246114   0414987190018731´¿ÒÌß×¿Þ-Ù¶Ìß¾Ù10MG¢  10MG PTP    100CAP00001000001973000001973000021702701  05140        
D201202506040246114   0514987081103157µÙÒÃÂ¸OD¼ÞÖ³20MG      20MG PTP      100T00001000002900000002900000031902706  TNA4006      
D201202506040246115   0114987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000014782000014782000162602706  24070Y1      
D201202506040246115   0214987081108756ÀØ-¼Þ´¼ÞÖ³5MG          5MG PTP      100T00001000008409000008409000092502712  YBA2406      
D201202506040246115   0314987138800848ÂÑ×008ÀÞ²»²ºÄ³             (8) 2.5GX3X1400002000002090000004180000023002803  X61662       
D201202506040246115   0414987155165241ËÞÙÀÞ¸ÞØÌßÁÝ¼ÞÖ³50MG  50MG PTP      100T00001000001673000001673000018402710  D0014        
D201202506040246115   0514987080001911ËßÀÊÞ½ÀÁÝCA¼ÞÖ³1MG¢»   1MG PTP      100T00001000000945000000945000010402707  424703       
D201202506040246116   0114987080002017ËßÀÊÞ½ÀÁÝCA¼ÞÖ³2MG¢»   2MG PTP      100T00001000001445000001445000015902708  424805       
D201202506040246116   0214987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500001000001081000001081000000002912  RS7A07B-1    
D201202506040246116   0314987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500001000001081000001081000000003001  RS7B01B-1    
D201202506040246116   0414987128115372Ò²ÝÃ-Ä¼ÞÖ³5MG          5MG PTP      100T00001000001609000001609000017702610  H153A        
D201202506040246116   0514987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000001000001120000001120000012322802  30525        
D201202506040246117   0114987616002467ÉÎÞ×ËßÂÄÞÁÕ³ÌÚÂ¸½ÍßÝ      300U     3MLX200002000002351000004702000025862609  PT6GB94      
D201202506040246117   0214987616002481ÚÍÞÐÙÁÕ³ÌÚÂ¸½ÍßÝ          300U   3MLX2ÎÝ00001000002589000002589000028482609  PT6EK25      
D201202506040246245   0114987185809900¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  100T00001000007464000007464000082102608  Z003583      
D201202506040246245   0214987080303718¼Þ×¾ÞÌß´Ý»Ý´Ý¼ÞÖ³50M  50MG PTP      100T00001000000536000000536000005902801  725101       
D201202506040246245   0314987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000014782000014782000162602706  24070Y1      
D201202506040246245   0414987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00001000002202000002202000024222709  489050       
D201202506040246245   0514987080362012Ä±×¾ÂÄÊ²ºÞ³¼ÞÖ³¢»Ü²£       PTP      100T00001000001300000001300000014302710  424X01       
D201202506040246246   0114987116530347ÒÄÎÙÐÝ´Ý»Ý´Ý¼ÞÖ³500M 500MG PTP      100T00002000000945000001890000010402707  77015        
D201202506040246246   0214987087029000ØÝÃÞÛÝ-VGÛ-¼ÖÝ           0.12%   10MLX1000001000002518000002518000027702802  6746         
D201202506040246246   0314987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000002000001120000002240000012322802  30525        
D201202506040246537   0114987080323013¶ÙÎÞ¼½Ã²Ý¼ÞÖ³250MG¢» 250MG PTP      100T00001000000945000000945000010403001  624Y04       
D201202506040246553   0114987080324010¶ÙÎÞ¼½Ã²Ý¼ÞÖ³500MG¢» 500MG PTP      100T00001000000945000000945000010402802  X25310       
E200000300000282506041402                                                                                                       
