S20902020014 05262978170882250806140253128128          0526297817                                                               
D201202508060375847   0114987128320011ÌÞÛÁ¿Þ×Ñ¼ÞÖ³0.25MG¢Ö0.25MG PTP      100T00002000000872000001744000010402712  K003         
D201202508060375848   0114987476170306±ÑÊÞÛÊ²ºÞ³¼ÞÖ³¢YD£         PTP      100T00001000001551000001551000015202801  Y25B05       
D201202508060375848   0214987901128209±ÑÛ¼ÞËßÝ¼ÞÖ³2.5MG¢VT 2.5MG PTP      100T00001000000883000000883000010402809  LX0860       
D201202508060375848   0314987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00001000003929000003929000046502801  P2579        
D201202508060375848   0414987080035411´Å×ÌßØÙÏÚ²Ý»Ý´Ý¼ÞÖ³2 2.5MG PTP      100T00001000000926000000926000010402711  524X03       
D201202508060375848   0514987901039406´ÊßÙÚ½ÀÂÄ¼ÞÖ³50MG¢VT  50MG PTP      100T00001000001273000001273000014302710  M043AHB      
D201202508060375849   0114987443384446´ÝÚ½Ä¼ÞÖ³200MG       200MG PTP      100T00001000016618000016618000188202711  P0819        
D201202508060375849   0214987080680017¶ÙÍÞ¼ÞÛ-Ù¼ÞÖ³2.5MG¢» 2.5MG PTP      100T00003000000935000002805000010402706  724806       
D201202508060375849   0314987081189700¶Þ×ÝÀÐÝOD¼ÞÖ³8MG¢DSE   8MG PTP       56T00001000001187000001187000013502706  BB2B069      
D201202508060375849   0414987770588807ºÒØ±Ýº-Ü¼ÞÖ³100      100MG PTP      100T00001000000770000000770000008602901  VY5W         
D201202508060375849   0514987286113500»Ý¶Ï¸ÞÈ¼³Ñ¼ÞÖ³330MG¢ 330MG PTP      100T00002000000490000000980000005902805  5I84         
D201202508060375850   0114987185809900¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  100T00002000007044000014088000082102612  Z006832      
D201202508060375850   0214987080303718¼Þ×¾ÞÌß´Ý»Ý´Ý¼ÞÖ³50M  50MG PTP      100T00001000000527000000527000005902801  725103       
D201202508060375850   0314987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000014450000014450000149702708  24082Y1      
D201202508060375850   0414987901129107¾Úº·¼ÌÞ¼ÞÖ³100MG¢VTR 100MG PTP      100T00001000000827000000827000009302712  25016N1      
D201202508060375850   0514987080034711¾ÝÉ¼ÄÞ¼ÞÖ³12MG¢»Ü²£   12MG PTP      100T00001000000477000000477000005302902  725104       
D201202508060375851   0114987274130618ÀØËÞÂÄÞ¼Þ¶Ö³´·0.3%         3MG   5MLX5ÎÝ00001000002836000002836000027802710  TV1027       
D201202508060375851   0214987138806840ÂÑ×068¼Ô¸Ô¸¶Ý¿Þ³Ä³        (68) 2.5GX3X1400002000000992000001984000010922803  X64641       
D201202508060375851   0314987138804143ÂÑ×041ÎÁÕ³´Â·Ä³           (41) 2.5GX3X1400003000002147000006441000023632803  X60972       
D201202508060375851   0414987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00002000002156000004312000024222709  589004       
D201202508060375851   0514987770510501ÃÞÍÞÙ»Þ¼ÞÖ³20MG       20MG PTP      100T00001000013400000013400000144202709  IM5C         
D201202508060375852   0114987080199113ÊÞ¾ÞÄÞ·¼Ì´Ý¼ÞÖ³20MG¢  20MG PTP      100T00001000002480000002480000027302802  425222       
D201202508060375852   0214987081185719Ì´ÌÞ·¿½ÀÂÄ¼ÞÖ³10MG¢D  10MG PTP      100T00001000000542000000542000006102711  50293        
D201202508060375852   0314987080774013Ìß×ÊÞ½ÀÁÝNA¼ÞÖ³10MG¢  10MG PTP      100T00001000001213000001213000014102711  724Y03       
D201202508060375852   0414987155783049ÌßÛËßÍÞØÝ´Ý»Ý´Ý¼ÞÖ³2  20MG PTP      100T00001000002264000002264000025502707  D0039        
D201202508060375852   0514987233103042ÍÞÀÆ½¼ÞÖ³50MG         50MG PTP      100T00001000012470000012470000141702711  24124R1      
D201202508060375853   0114987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500002000001081000002162000000003002  RS7C14B-1    
D201202508060375853   0214987080033912Ò·¼ÚÁÝ´Ý»Ý´Ý¶Ìß¾Ù100 100MG PTP    100CAP00001000000962000000962000010602803  125302       
D201202508060375853   0314987116530347ÒÄÎÙÐÝ´Ý»Ý´Ý¼ÞÖ³500M 500MG PTP      100T00001000000852000000852000010402707  77067        
D201202508060375853   0414987901094207Ó»ÌßØÄÞ¸´Ý»Ý´Ý¼ÞÖ³5M   5MG PTP      100T00001000000925000000925000010402709  M040AHA      
D201202508060375853   0514987858210125×¼ÞÚ½¼ÞÖ³150MG       150MG PTP      140T00001000012918000012918000126702704  M1060M1      
D201202508060375854   0114987060307354ØÎÞÌ×ËÞÝ×¸»Ý´½ÃÙ¼ÞÖ³  20MG PTP      100T00001000000516000000516000005702902  G007         
D201202508060375854   0214987081105403Û·¿ÆÝ¼ÞÖ³60MG         60MG PTP      100T00001000000864000000864000010402710  THA8673      
D201202508060375854   0314987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000001000001057000001057000012322802  31425        
D201202508060375854   0414987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00002000000925000001850000010402707  91540        
D201202508060375854   0514987081187003Û½ÊÞ½ÀÁÝ¼ÞÖ³5MG¢DSEP   5MG PTP      100T00001000001638000001638000018402707  58140        
D201202508060375855   0114987616003211×²¿ÞÃÞ¸ÞÊ²ºÞ³ÁÕ³ÌÚÂ¸      300U   3MLX2ÎÝ00003000002989000008967000033402701  PP5N832      
E200000390000372508061402                                                                                                       
