S20902690019 05262978170000250808124501128128          0526297817                                                               
D201202508121712949   0114987123418164ÃÞÕÀ½ÃØÄÞ ¶Ìß¾Ù0.5MGAV¢ÃÊÞPTP30CP       00001000000731000000731000008042807  7E3W         
D201202508121712949   0214987123416627ÎÞ¸ÞØÎÞ°½OD¼ÞÖ³0.3MG¢À¹ÀÞÃÊÞ£100T       00001000000942000000942000010402710  KL041        
D201202508121712950   0114987058565032ÌÙÆÄ×¾ÞÊßÑ¼ÞÖ³1MG±ÒÙPTP1MG   100T       00001000000536000000536000005902801  2452         
E200000050000032508081300                                                                                                       
S20902020014 05262978171035250808140258128128          0526297817                                                               
D201202508080380343   0114987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00002000003929000007858000046502803  P2589C       
D201202508080380343   0214987185809900¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  100T00001000007044000007044000082102612  Z007002      
D201202508080380343   0314987233105343½-¼ÞÔÇÊ²ºÞ³¼ÞÖ³            PTP      100T00001000015734000015734000178802708  24102M1      
D201202508080380343   0414987080103516ÄÞÝÍßØÄÞÝ¼ÞÖ³10MG¢»Ü  10MG PTP      100T00001000000547000000547000006102803  525202       
D201202508080380343   0514987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00001000000925000000925000010402707  91540        
D201202508080380518   0114987080100119¸´Ý»ÝÀÞ²²ÁÃÂNA¼ÞÖ³50  50MG PTP      100T00001000000562000000562000006202804  725320       
D201202508080380518   0214987080515074Ìß×ÝÙ¶½Ä¶Ìß¾Ù112.5MG112.5MGPTP    140CAP00001000002976000002976000032762802  425102       
D201202508080380518   0314987081186853Ã×ÑÛÊ²ºÞ³¼ÞÖ³BP¢DSEP       PTP      100T00001000002814000002814000031302612  589012       
D201202508080380518   0414987086533546¹ÄÌßÛÌ´ÝÃ-Ìß40MG¢»ÝÜ   10X14CM    7Ï²X1000006000001109000006654000012322705  5K12SL       
D201202508080380703   0114987128320011ÌÞÛÁ¿Þ×Ñ¼ÞÖ³0.25MG¢Ö0.25MG PTP      100T00002000000872000001744000010402712  K003         
D201202508080380704   0114987476170306±ÑÊÞÛÊ²ºÞ³¼ÞÖ³¢YD£         PTP      100T00001000001551000001551000015202801  Y25B05       
D201202508080380704   0214987901128209±ÑÛ¼ÞËßÝ¼ÞÖ³2.5MG¢VT 2.5MG PTP      100T00001000000883000000883000010402809  LX0860       
D201202508080380704   0314987190020338´¿ÒÌß×¿Þ-Ù¶Ìß¾Ù20MG¢  20MG PTP    100CAP00001000003250000003250000037802702  13540        
D201202508080380704   0414987080035510´Å×ÌßØÙÏÚ²Ý»Ý´Ý¼ÞÖ³5   5MG PTP      100T00001000000925000000925000010402801  524Z02       
D201202508080380704   0514987051183127¸ÞÙÍÞ½Ê²ºÞ³¼ÞÖ³            PTP      100T00001000002280000002280000025802911  CXJ2303      
D201202508080380705   0114987086533485¹ÄÌßÛÌ´ÝÃ-Ìß20MG¢»ÝÜ    7X10CM    7Ï²X1000001000000800000000800000008892704  5H16SS       
D201202508080380705   0214987641077829¹ÄÌßÛÌ´ÝÊßÂÌßXR120MG     120MG      70Ï²00001000001096000001096000012322610  55071        
D201202508080380705   0314987185809900¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  100T00001000007044000007044000082102612  Z007002      
D201202508080380705   0414987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000013174000013174000149702708  24082Y1      
D201202508080380705   0514987080633112Æº×Ý¼ÞÙ¼ÞÖ³5MG         5MG PTP      100T00001000000547000000547000006102803  625101       
D201202508080380706   0114987211153106ÌßÛÍßÄ                   ÁÕ-ÌÞ      100G00001000000271000000271000002432806  56182        
D201202508080380706   0214987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500001000001081000001081000000003002  RS7C14B-1    
D201202508080380706   0314987443328921ÎÞÙÀÚÝÃ-Ìß15MG          7X10CM    7Ï²X1000001000000732000000732000008892611  240070       
D201202508080380706   0414987116530347ÒÄÎÙÐÝ´Ý»Ý´Ý¼ÞÖ³500M 500MG PTP      100T00001000000852000000852000010402707  77068        
D201202508080380706   0514987901094207Ó»ÌßØÄÞ¸´Ý»Ý´Ý¼ÞÖ³5M   5MG PTP      100T00001000000925000000925000010402709  M040AHA      
D201202508080380707   0114987087003871ØÝÃÞÛÝ-VG¸Ø-Ñ0.12%       0.12%   5GX10²Ø00002000001223000002446000013852805  5859         
D201202508080380707   0214987035209713ÚÊÞÐËßÄÞ¼ÞÖ³100MG¢µ- 100MG PTP      500T00001000004230000004230000052002804  5D85RT2      
D201202508080380707   0314987081105403Û·¿ÆÝ¼ÞÖ³60MG         60MG PTP      100T00001000000864000000864000010402710  THA8673      
D201202508080380707   0414987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00002000000925000001850000010402707  91540        
D201202508080380708   0114987616003167ÄÚ¼-ÊÞÁÕ³ÌÚÂ¸½ÀÂÁ         300U     3MLX200002000003292000006584000036822612  RP5P671      
D201202508080380708   0214987616002467ÉÎÞ×ËßÂÄÞÁÕ³ÌÚÂ¸½ÍßÝ      300U     3MLX200002000002314000004628000025862611  RT6GM00      
D201202508080380708   0314987128305216ÏÝ¼ÞÔÛË¶ÁÕ³5MG±Ãµ½         5MG0.5MLX2·ÂÄ00002000006856000013712000076962610  D848469DA    
