S20902020014 05262978170845250829140251128128          0526297817                                                               
D201202508290467431   0114987901128605±ÑÛ¼ÞËßÝ¼ÞÖ³5MG¢VTRS   5MG PTP      100T00003000000883000002649000010402809  LY1378       
D201202508290467431   0214987476113310Ä×È·»Ñ»Ý¼ÞÖ³250MG¢YD 250MG PTP      100T00002000001061000002122000010402803  Y25D12       
D201202508290467431   0314987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500005000001081000005405000000003003  RS7D02B-1    
D201202508290467431   0414987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000002000001057000002114000012322804  50225        
D201202508290467431   0514987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00003000000925000002775000010402707  91940        
D201202508290467432   0114987616005062µ¾ÞÝËßÂ¸Ë¶ÁÕ³2MG           2MG 1.5MLX2ÎÝ00002000019929000039858000223022709  RP5P362      
D201202508290467724   0114987116530170´¸ÒÂÄÊ²ºÞ³¼ÞÖ³HD           PTP      100T00001000003929000003929000046502803  P2589M       
D201202508290467724   0214987081189458´¾ÞÁÐÌÞ¼ÞÖ³10MG¢DSEP  10MG PTP      100T00001000002732000002732000030702709  Z007796      
D201202508290467724   0314987233105343½-¼ÞÔÇÊ²ºÞ³¼ÞÖ³            PTP      100T00001000015734000015734000178802708  25002M1      
D201202508290467724   0414987080034711¾ÝÉ¼ÄÞ¼ÞÖ³12MG¢»Ü²£   12MG PTP      100T00002000000477000000954000005302902  725105       
D201202508290467724   0514987155165241ËÞÙÀÞ¸ÞØÌßÁÝ¼ÞÖ³50MG  50MG PTP      100T00002000001546000003092000018402710  D0020        
D201202508290467725   0114987035209713ÚÊÞÐËßÄÞ¼ÞÖ³100MG¢µ- 100MG PTP      500T00001000004230000004230000052002804  5D89RT3      
D201202508290467725   0214987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000002000001057000002114000012322804  50225        
D201202508290467917   0114987080737414²º»ÍßÝÄ»Ý´ÁÙØÕ³¼ÞÖ³¶     900MG      84Î³00003000003144000009432000034612708  X24842       
D201202508290467917   0214987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00001000002156000002156000024222712  589013       
D201202508290467917   0314987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000002000001057000002114000012322804  50225        
D201202508290467958   0114987428143303ÄÙØ¼Ã²Ë¶ÁÕ³0.75MG±Ãµ    0.75MG      2·ÂÄ00001000004888000004888000054982702  D875676AA    
D201202508290468215   0114987233103653ÚÊß-»Ë¶ÁÕ³140MGÍßÝ       140MG       1ÎÝ00007000021629000151403000243022702  1183003      
E200000200000182508291402                                                                                                       
